x_diff,y_diff,z_diff,yaw_diff,x_current,y_current,z_current,roll_current,pitch_current,yaw_current,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
0.8480582015339317,4.089975304376812,-0.6520948081533904,1.3663431245266786,2.153282642364502,-7.399801731109619,1.4793299436569214,0.02374427171169334,-0.041346059165916306,1.2228382717621993,1.2897255814496822,0.09339971457746249,-0.11206851208839455,-0.05785796418786049,-1.3711493015289307,0.09679956734180467
0.8146172347462017,4.061624473381784,-0.66815410494996,1.372858143239926,2.177241802215576,-7.31165885925293,1.5175824165344238,0.018013842901747176,-0.16403758173055286,1.2256225350141783,1.10239608531983,0.06588579219920541,-0.20270696834469326,-0.04758235439658165,-0.9015914797782898,0.025850752368569485
0.7833738797151475,4.0718690726313085,-0.68476843632834,1.3807317490922906,2.1975111961364746,-7.24064302444458,1.543697714805603,0.013154938686222523,-0.20412603985273312,1.226227295013611,0.8903642793644062,0.050749644880110974,-0.2123505113405278,-0.04823972284793854,0.01872982643544674,0.0009242101805284597
0.7831965776563945,4.108768512934092,-0.6930404486366513,1.3824400139135533,2.215791940689087,-7.1771321296691895,1.5603063106536865,0.0056414630361580585,-0.1634690552295163,1.2269786356254788,0.7230640636594268,0.05249639960157315,-0.207694308882942,-0.2792001962661743,1.1414803266525269,0.04092189669609056
0.7827844897743605,4.14263412364653,-0.687408161605966,1.3840401195034424,2.2309229373931885,-7.119920253753662,1.5568300485610962,-0.05106672185978365,0.1074289516361384,1.2358399705566718,0.7884567745330059,0.07764742653465648,-0.1824546280560458,-0.5353890657424927,3.481194496154785,0.24914625287055928
0.773585771960561,4.157057238009547,-0.6668713134615545,1.3868110718340982,2.254739761352539,-7.027618408203125,1.5513370037078857,-0.07846064669604003,0.4161633119933963,1.245689401280703,1.0961830042858896,0.11544831539522403,0.021574154875114604,-0.10399584472179413,2.334765911102295,0.3435346782207486
0.7598583678824027,4.1328595642195065,-0.6316188289200364,1.3889692108910263,2.2810633182525635,-6.91063928604126,1.52421236038208,-0.06201945375883595,0.5363075447097019,1.2747447635659772,1.4854093677392877,0.12451373298412177,0.22379848588054968,0.11026520282030106,0.2366040498018265,0.33965888619422907
0.7256318978842988,4.05075062308729,-0.5823188213073838,1.3935412044405708,2.3165950775146484,-6.742254734039307,1.4737658500671387,-0.03069188444170693,0.49102690500276636,1.3123387634869552,1.9292211584853725,0.11049654105932198,0.2619943069657894,0.10536615550518036,-0.9093022346496582,0.2748660743236543
0.6845824139783301,3.9325637351484537,-0.5299626274939739,1.39844303754101,2.3559582233428955,-6.550513744354248,1.4160040616989136,-0.011235248218272197,0.3861396204788396,1.3408122582558182,2.2711190904174243,0.0784484108731552,0.16395160544943876,0.03571039065718651,-1.0667259693145752,0.19828899204731001
0.6124197427782438,3.817728826868137,-0.47977273750958327,1.4117367629689332,2.394805431365967,-6.3645524978637695,1.377894401550293,-0.005608850456042229,0.2953975966607063,1.3589624052271667,2.5024358118592125,0.044874652498168945,0.06506605656234943,-0.027390005066990852,-0.7466925978660583,0.13972005248069772
0.5283087408393383,3.72007162165421,-0.43731944233749287,1.4297239395633288,2.435516357421875,-6.165435314178467,1.3390806913375854,-0.007594156786300262,0.2426643548587368,1.371131396025259,2.648502224903247,0.022655710536664396,0.013614079871798412,-0.059969499707221985,-0.39047789573669434,0.09924734383821492
0.4605055712081496,3.5929552231659763,-0.40111565441511843,1.4433222872028828,2.4832522869110107,-5.9250946044921875,1.294011116027832,-0.010977386409723566,0.20323406974826377,1.3799531021707496,2.7280756253445047,0.013201923162192684,-0.01167576523529723,-0.037924446165561676,-0.9231652021408081,0.08275361359119426
0.4064843744837412,3.4535088274298857,-0.386551037642592,1.4536335403961251,2.5276424884796143,-5.693935394287109,1.2657643556594849,-0.009052480951526134,-0.0584793557979804,1.3874811655510846,2.5945007152255153,0.01206256272343042,-0.45899159972197345,0.007858479395508766,-2.895902395248413,0.029809160158038493
0.37748013165217653,3.3427578466534555,-0.37201154208333387,1.4583479316611205,2.568135976791382,-5.46884298324585,1.2630202770233154,-0.02148906361787527,-0.11817157600656471,1.393419686835707,2.40633480922049,0.026638911876823324,-0.6109309331682038,-0.15689824521541595,1.0661485195159912,0.08009046316146838
0.37713434672296087,3.2389302603419403,-0.353662488247501,1.454880367373447,2.60244083404541,-5.2659478187561035,1.2495726346969604,-0.03180233160009863,0.04694784438861299,1.3993266095225063,2.3656911092467987,0.033728294130543984,-0.2551939338711531,-0.01971115916967392,1.3475669622421265,0.11953970789909346
0.3627788450384206,3.1656654466017744,-0.35724524091251975,1.4566960971841711,2.6361122131347656,-5.049371242523193,1.2368123531341553,-0.021890985696980603,-0.03411831544037383,1.410310676839687,2.213369149087594,0.03623970973086098,-0.18900297884896106,0.1967478096485138,-2.08793568611145,0.06107684969902064
0.341538096442775,3.09785815311706,-0.3728990391475919,1.4609900395320694,2.6630637645721436,-4.861117362976074,1.241326093673706,-0.0021128301211569504,-0.2368273963497486,1.4156489772044598,1.9365189322258625,0.038582858127514295,-0.505695513518802,0.1286122053861618,-1.2951682806015015,0.020767005160451095
0.3104730648459131,3.044011497547448,-0.37548196459533534,1.469153108096442,2.6932692527770996,-4.670604705810547,1.2579561471939087,-0.0064534455900132955,-0.1413072232444565,1.4202570801400163,1.7823090838454627,0.03760934202605668,-0.42109618624357137,-0.09090574830770493,2.3583250045776367,0.07223457843065233
0.22938067527515393,3.0145525846848087,-0.3681973189453611,1.494851553388782,2.7182323932647705,-4.503004550933838,1.2531752586364746,-0.014218296557660203,0.10219258245204536,1.4257659201919493,1.7857743008398126,0.040842341789872026,-0.08851708683293735,-0.054658062756061554,1.7621965408325195,0.08601772785186745
0.17660198675923233,2.990840341628372,-0.3719675977708006,1.5118171948899044,2.742826223373413,-4.3210883140563965,1.2451432943344116,-0.010780864617730581,0.05832543495350776,1.433165217674692,1.792481586643578,0.04609534185041513,-0.03066250681074517,0.0712565928697586,-1.3124547004699707,0.057970497757196586
0.1347976538224387,2.9500669032806575,-0.3679902236289747,1.525135003576629,2.763803005218506,-4.149594783782959,1.2357251644134521,-0.009120483936840647,0.0545614381260421,1.4397856698120384,1.8102785714322298,0.048017955110932424,-0.14188233930268226,-0.005686759017407894,0.6797505021095276,0.0731717497110366
